form	lemma	POS	morph
དཀར་ཆག་	དཀར་ཆག་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔ་	སེམས་དཔའ་	NOUN
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ལ་	ལ་	ADP
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
འི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
		
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
ཀླད་	ཀླད་	NOUN
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ཀ་	ཀ་	DET
		
རྩོམ་པ་	རྩོམ་པ་	VERB
ལ་	ལ་	ADP
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ཀ་	ཀ་	DET
		
འཇུག་	འཇུག་	VERB
བྱ་	བྱ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
ཀྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ལེའུ་	ལེའུ་	NOUN
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
ཕན་ཡོན་	ཕན་ཡོན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ལེའུ་	ལེའུ་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
སྡིག་པ་	སྡིག་པ་	VERB
བཤགས་	བཤགས་	NO_POS
ཚུལ་	ཚུལ་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ལེའུ་	ལེའུ་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་	སེམས་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
བཟུང་བ་	བཟུང་བ་	VERB
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ལེའུ་	ལེའུ་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
།		PUNCT
བག་	བག་	NOUN
ཡོད་	ཡོད་	VERB
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ལེའུ་	ལེའུ་	NOUN
ལྔ་པ་	ལྔ་པ་	NUM
།		PUNCT
དྲན་པ་	དྲན་པ་	VERB
དང་	དང་	NO_POS
